id,official_name,alias_name,total_leaf_node
06072,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,,33
06073,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,,34
06074,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,,30
06075,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,,21
06076,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,,18
06077,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,,21
06078,มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,,11
06079,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,,25
06080,มหาวิทยาลัยเทคโนโลยีสุรนารี,,11
06081,มหาวิทยาลัยแม่ฟ้าหลวง,,17
06082,มหาวิทยาลัยแม่โจ้,,22
06083,ศูนย์ความเป็นเลิศด้านชีววิทยาศาสตร์ (องค์การมหาชน),['ศลช.'],13
06084,สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,,6
06085,สถาบันดนตรีกัลยาณิวัฒนา,,3
06086,สถาบันบัณฑิตพัฒนบริหารศาสตร์,,25
06087,สถาบันมาตรวิทยาแห่งชาติ,['มว.'],16
06088,สถาบันวิจัยดาราศาสตร์แห่งชาติ (องค์การมหาชน),['สดร.'],8
06089,สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย,['วว.'],55
06090,สถาบันวิจัยแสงซินโครตรอน,,6
06091,สถาบันวิจัยแสงซินโครตรอน (องค์การมหาชน),['สซ.'],1
06092,สถาบันวิทยาลัยชุมชน,,6
06093,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),['สสน.'],8
06094,สถาบันเทคโนโลยีจิตรลดา,,6
06095,สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน),['สทน.'],52
06096,สถาบันเทคโนโลยีปทุมวัน,,7
06097,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,,25
06098,สำนักงานการวิจัยแห่งชาติ,,12
06099,สำนักงานคณะกรรมการการอุดมศึกษา,['สกอ.'],19
06100,สำนักงานคณะกรรมการส่งเสริมวิทยาศาสตร์ วิจัยและนวัตกรรม,['สกสว.'],6
06101,สำนักงานนวัตกรรมแห่งชาติ,,0
06102,สำนักงานนวัตกรรมแห่งชาติ (องค์การมหาชน),['สนช.'],7
06103,สำนักงานปรมาณูเพื่อสันติ,['ปส.'],10
06104,สำนักงานปลัดกระทรวง,['สป.วท.'],20
06105,สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,,1
06106,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,['พว.'],8
06107,สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน),['สทอภ.'],21
06108,สำนักงานรัฐมนตรี,['สร.'],5
